instance,text,category
413,"Overleggen met de dokter, eventueel via de receptionist, wat in dit geval het beste is. De dokter is immers de enige die daar een overwogen besluit over kan nemen.",proactive
414,"beter is m.i.   a. te vertellen, dat de huisarts zelf mijn con-      ditie na 2 weken wilde testen.  b. lukt dat niet,dan door te vragen voor een      kort desnoods tel. kontakt met de huisarts      zelf, zodat deze zelf kan beslissen.  Indien ik zelf zou beooordelen, dat de situatie niet zo dringend is, dan aan receptionist(e)vragen, wanneer ik het beste de huisarts zelf kan bellen, of dat hij zelf mij even terugbelt.",somewhat
415,Jan zou moeten blijven staan op het feit dat hij over twee weken gecontroleerd moet worden door de arts. Jan moet geen genoegen nemen met een afspraak over meer dan een maand.,proactive
416,Aandringen een afspraak binnen twee weken te maken omdat de arts dit wil.,proactive
417," aangeven dat de arts een termijn van 2 weken af had gesproken, de receptie moet anders maar contact opnemen met de arts",proactive
418,Niet meer gaan,destructive
419,Assertief zijn en zeggen dat die afspraak te lang duurt en of er geen mogelijkheid bestaat om eerder te kunnen komen.,proactive
420,Bij zijn standpunt blijven op advies van dokter.,proactive
421,Aangeven dat de dokter heeft gezegd dat hij over twee weken moet terugkomen en dat hij vindt dat de dokter op de hoogte moet zijn van de wachtlijst. Vervolgens vragen of de receptioniste met de dokter kan overleggen of het eventueel ook over een maand kan.,proactive
422,De arts wil Jan over 2 weken terug zien. Dit moet Jan volhouden tijdens het maken van een afspraak.,proactive
423,"Als het echt prioriteit heeft kunnen ze wel afspraken verzetten. Of hij kan afspraak maken en hopen dat iemand uitvalt, zodat hij eerder kan. Meestal komt het niet op een paar weken.",somewhat
424,"Jan kan tegen de receptie zeggen dat de arts wilde dat hij over twee weken terug moest komen. Er is dan volgens mij altijd plek voor zulke afspraken.  Als dit dan toch niet mocht lukken om de afspraak te maken voor over een maand, dan wel afspreken dat mocht er eerder een plekje vrij zijn dat ze Jan dan opbellen",somewhat
425,Vragen of het echt niet tussendoor kan en anders elders een afspraak maken.,somewhat
426,ik zou zeggen dat ik over 2 weken terug moest komen dus moet ze maar kijken dat ik over 2wken kan komen,proactive
427,De afspraak maken en zelf de ontwikkelingen van zijn conditie bijhouden op papier zodat ie dat kan melden op de afspraak.,passive
428,Simpelweg er op wijzen dat de arts zelf om dit consult had gevraagd. De assistente adviseren even contact op te nemen met de arts. Kan me overigens niet voorstellen dat de communicatie tussen arts en assistente dusdanig matig is.,proactive
429,Kijken of er toch iets ander geregeld kan worden,passive
430,tegen de receptie zeggen dat de dokter duidelijk had gezegd dat hij over twee weken terug moest komen en of ze geen afspraak ergens tussen door kan maken.,somewhat
431,er op aandringen om over twee weken een afspraak te hebben: de arts heeft dit nota bene zelf gezegd.,proactive
432,Dokter weer raadplegen.,proactive
433,over een maand een afspraak maken en even bellen om de week hoe het met hem gaat,somewhat
434,Arts raadplegen,proactive
435,uitleg geven over at de arts van jan verlangt,passive
436,de dokter inschakelen om de afspraak kort in te plannen,proactive
437,Nogmaals aangeven dat de arts hem over 2 wk wilt zien en niet over een maand. Jan zou daarna de assistent kunnen vragen met de arts te overleggen in hoeverre het belangrijk is dat de afspraak over 2 weken plaatsvindt. Als dat niet direct kan en hij niet kan wachten hierop dan zal de assistent hem kunnen bellen hierover.,proactive
438,Aangeven dat de arts geadviseerd beeft om binnen twee weken terug te komen. Er zal geschoven moeten worden in de agenda.,somewhat
439,Nog een keer benadrukken dat de arts hem over twee weken wil zien.,passive
440,Nogmaals zeggen dat de arts zelf een afspraak op kortere termijn wilde en indien dit toch niet mogelijk blijkt navraag doen bij de arts of over een maand ook vroeg genoeg is.,proactive
441,Vertellen dat de arts hem over twee weken wilde zien en hij dus een afspraak voor over twee weken wil maken,proactive
442,niet accoord gaan met deze situatie. De arts wilde hem over 2 weken terugzien. Dan moet daar ook tijd voor gemaakt worden.,proactive
443,De receptionist(e) verzoeken de arts toestemming te vragen of dit mogelijk is.,proactive
444,Teruggaan naar de arts en met hem of een plaatsvervanger een afspraak over twee weken zien te maken.,proactive
445,Hij moet de huisarts bellen en vragen wat hij hiermee moet doen.,somewhat
446,er op stan dat de afspraak om twee weken is,proactive
447,Verwijzen naar de arts die hem beslist over twee weken wil zijn. Receptie moet dan maar contact opnemen met arts.,proactive
448,zeggen dat de afspraak eerder moet,passive
449,er op staan dat de afspraak over twee weken is ;zoals de arts het zegt.,proactive
450,Aan de receptie duidelijk maken dat de arts hem had gezegd dat hij over 2 weken een afspraak moest hebben. Hij zou de receptioniste met de arts moeten laten overleggen of de afspraak medisch gezien wel uitgesteld kon worden.,proactive
451,"Jan zou vriendelijk, doch assertief, kunnen benadrukken dat het voor hem belangrijk is dat de afspraak over twee weken is. Jan kan daarbij aangeven dat de arts dit heeft voorgesteld. Mocht het echt niet kunnen dan moet Jan zich bij de situatie neerleggen, tenzij de situatie voor hem gevaarlijk is. In dat geval kan hij beter contact met de arts opnemen over het probleem",proactive
452,aan dringen op een afspraak binnen twee weken,proactive
453,Gewoon zeggen dat de arts heeft gezegd dat hij hem over 2 weken wil terug zien,passive
454,de receptionist duidelijk maken dat de afspraak echt over twee weken moet op dokters indicatie,passive
455,gewoon aannemen,passive
456,afspraak nemen bij een art die over 2 weken kan anders afwachten die ene maand,proactive
457,zeggen dat de arts heeft gezegd dat de afspraak over twee weken moest.,passive
458,Vertellen dat hij een afspraak heeft gemaakt met de arts en desnoods de arts zelf opbellen om het probleem voor te leggen.,proactive
459,"Jan moet de receptionist verzoeken, dit probleem meteen op te nemen met de arts en wachten op het antwoord.",proactive
460,Aangeven aan de receptie dat op verzoek van de arts is besproken dat hij toch echt een afspraak moest maken voor over twee weken- indien dat niet mogelijk blijkt desnoods de betreffende arts erbij halen.,proactive
461,"Vertellen dat hij over 2 weken terug moet komen, dus het regelen met zijn arts.",proactive
462,"De Receptie duidelijk maken dat hij een afspraak heeft met de arts om over twee weken terug te komen en zich aan die afspraak wil houden, en dit ook verwacht van de arts en de receptie.",proactive
463,Aangeven dat zijn arts heeft gezegd dat hij over twee weken terug moest komen en hij dat niet voor niets heeft gezegd. En dan vriendelijk vragen of de afspraak dus niet eerder kan.,passive
464,"Overleg receptie met arts, afspraak over 2 weken. Evt. afspraak telefonisch plannen over 2 weken.",proactive
465,"Bij de receptie zeggen dat je met 2 weken terug  moet komen,en niet over meer dan een maand.Dat je een afspraak wil uitelijk over 3 weken en niet later.",somewhat
466,de arts bellen hoe het nu precies zit,somewhat
467,"Als hij een slechte conditie zou hebben volhouden om over 2 weken terug te komen,valt zijn conditie wel mee mag het ook wel wat later.",passive
468,"duidelijk laten merken dat het genoeg was dat de afpraak toch eerder wordt gemaakt ,want soms is dat wel verstandig.vooral als je niet weet wat je mankeert.",proactive
469,Jan zou dit niet accepteren en aangeven dat de arts hem over twee weken terug wil zien. Kan vraagt de receptie om dit met de huisarts op te pakken en de uitkomst mede te delen aan Jan.,proactive
470,accepteren,passive
471,De receptie moet met de arts overleggen wat er mogelijk is met schuiven van andere patienten. En als dat niet gaat de afspraak van meer dan een maand maken.,somewhat
472,Aandringen op een afspraak en verwijzen naar de afspraak met de arts.,proactive
473,kijken voor zelfde afspraak bij een andere arts.,destructive
474,Aan de arts vragen.,proactive
475,vragen of de receptie contact met de arts kan opnemen om te overleggen of een maand niet te lang is en anders op een speciale plek gezet kan worden,proactive
476,"over maand terug komen,dan gesprek met arts hier over.",passive
477,"Dat hangt af van de aard van de klacht en de urgentie van het verzoek van de arts. Als de arts een dringende medische reden heeft gehad om aan te dringen op controle na twee weken, zou ik Jan aanraden het uitstel niet te accepteren. Maar ik kan me ook situaties voorstellen waarin het helemaal niet erg is om wat langer te wachten.",passive
478,"De receptioniste laten weten dat de arts hem graag over twee weken weer ziet. Als die echt niet mogelijk is, dan over een maand terugkomen.",passive
479,Aan kaarten dat de arts heeft aangegeven dat de afspraak over 2 weken dient plaats te vinden. en daar op staan,proactive
480,Zich niet zomaar bij de situatie neerleggen en dringend vragen of er beslist geeg mogelijkheid is om eerder geholpen te kunnen worden.,passive
481,De assistent de arts laten bellen om dit probleem op te lossen.,proactive
482,Aangeven aan de balie dat hij binnen twee weken terug moet komen.,passive
483,eisen dat hy eerder gehoort wordt,proactive
484,De receptioniste ervan overtuigen binnen twee weken toch een afspraak te maken,proactive
485,de assistente vertellen dat de arts het anders wil,passive
486,"Jan moet refereren aan zijn afspraak met de dokter, Geeft dat nog niet het gewenste resultaat dan moet Jan er op staan dat er contact met de dokter wordt opgenomen om alsnog een afspraak voor over 2 weken af te dwingen. Het is tenslotte het advies van de dokter aan Jan, een assistente heeft niet het recht/kennis om hier op basis van een agenda een wijziging in aan tebrengen.",proactive
487,Tegen de receptie zeggen dat de arts hem over twee weken terug verwacht en als er geen mogelijkheid is dan meteen weer contact opnemen met de betreffende arts zodat hij de afspraak kan regelen met de receptie,proactive
488,zeggen wat de dokter wilde dat ik terug kwam over twee weken,passive
489,zeggen dat hij 2 weken moet komen bij de dokter,passive
490,dat hij toch eerder een afspraak nodig is op advies van de arts,passive
491,Die tijd gebruiken om zijn conditie te verbeteren,passive
492,Duidelijk maken dat hij in opdracht van de arts over 14 dagen moet terug komen en niet meer dan een maand wachten.,proactive
493,"Als er verder geen acuute klachten zijn, zou ik adviseren om te wachten tot de arts wel tijd voor hem heeft.",passive
494,De receptionist laten overleggen met de arts hoe dit op te lossen is.,proactive
495,"Toch een afspraak zien te maken voor over twee weken, de afspraak van de arts voorleggen bij de receptionist en desnoods afspraak maken met een andere arts.",proactive
496,"terug gaan naar de arts,en die de afspraak laten maken, mij is gebleken dat er altijd plaats is voor noodgevallen.",proactive
497,er op staan dat hij over 2 weken gezien wordt,proactive
499,Aangeven dat de afspraak op verzoek van de arts eerder zou moeten plaatsvinden.,passive
500,Toch proberen om over twee weken een afspraak te maken. Er valt altijd wel iemand uit en vragen of ze dan bellen zodat hij in de plaats kan.,somewhat
501,Vragen of de afspraak toch eerder kan omdat hij zich zorgen maakt,passive
502,"Advies van arts volgen, er op staan na 2 weken toch een afspraak maken",proactive
503,Zeggen dat het op verzoek is van de arts om over 2 weken een afspraak te maken als dit niet lukt dat de receptiemedewerker contact op moet nemen met de assistent vd arts.,proactive
504,komt over een maand terug,passive
505,Jan zou toch moeten vragen of het niet eerder kan,passive
506,vertellen aan de balie dat de arts gevraagd had na twee weken weer terug te komen en vragen of over een maand niet te lang was,passive
507,"Dat de arts 2 weken had gezegt, en dat ze dan maar even naar de arts moest gaan om te vragen hoe verder.",proactive
508,Jan moet doorgeven dat hij over twee weken van zijn arts terug moet komen de assistente moet dan contact opnemen met de arts.,proactive
509,ik zou eerst vragen of er echt geen plekje is en anders moet je gewoon wachten.,passive
510,"een andere arts kiezen, want deze man weet niet wat hij adviseert; hij kent zijn eigen organisatie niet maar laat zich er wel voor betalen!",destructive
511,"Eerst aangeven dat hij het daar niet mee eens is en proberen eerder te kunnen, als dat niet lukt aangeven naar een andere arts te gaan!",passive
512,zeggen dat hij over twee weken een afspraak moet,passive
513,Aangeven dat de arts heeft aangegeven dat hij over 2 weken moet terugkomen. Eventueel vragen of de arts erbij komt om dit te regelen voor hem.,proactive
514,second opinion vragen bij een andere arts,destructive
515,terug naar de arts om afspraak te maken,proactive
516,een second opinion aanvragen bij een andere arts.,destructive
517,Jan moet er volgens mij op aandringen om toch over 14 dagen terug te komen.,proactive
518,Tegen de receptioniste zeggen dat de dokter een afspraak had voorgesteld over 2 weken.,passive
519,ZO snel als mogelijk gaan.,passive
520,ik zal de arts vragen of hij anders oplossing heetf.,proactive
521,Aangeven dat hij heeft afgesproken dat hij over twee weken terug moest komen en dat er daarom ruimte vrigemaakt moet worden om deze afspraak na te komen. Men moet dan intern een oplossing zoeken voor de structurele agendaplanning en wijze van uitvoering van gemaakte afspraken met 'n client/patient.,proactive
522,Benadrukken dat de arst heeft gezegd dat ie over twee weken terug moet komen.,passive
523,gewoon komen over een maand,passive
524,Aangeven dat de arts wilt dat hij over 2 wkn terug moet komen en dus niet een maand kan wachten. De dokter zegt dat niet voor niets.,proactive
525,eventueel vragen of een col. over 2 weken de conditie v. dhr. kan bekijken.,passive
526,"De arts opbellen en vertellen dat de gewenste afspraak niet ge maakt kan worden over 2 weken, Maar pas over een maand.En vragen of het dan nog zinvol is.",somewhat
527,Contact zoeken met de arts,proactive
528,De arts een afspraak laten regelen.,proactive
529,"Vragen aan de receptionist of het mogelijk is om over 2 weken terug te komen, omdat de dokter dat graag had.",passive
530,Aangeven dat het op verzoek van de arts zelf is en als het nog niet kan vragen of hij de arts nog een keer kan spreken zodat deze het kan bevestigen.,proactive
531,Naar andere arts gaan omdat het om je gezondheid gaat en dit de eigen arts uitleggen. Wellicht komt er toch een gaatje vrii,destructive
532,gewoon zeggen dat het over 2 weken moet,passive
533,De receptioniste wijzen op wat de arts heeft gezegd en niet eerder de situatie accepteren dan dat de arts hier zijn mening over heeft gegeven.,proactive
534,Zeggen dat de dokter hem over 2 weken wil zien.,passive
535,mopperen aan de balie en blijven staan op 14 dagen,proactive
536,Niet accepteren. Receptie ervan doordringen dat het echt na 2 weken moet. Als dat niet lukt contact opnemen met de arts.,proactive
537,"Zorgen dat de arts erbij geroepen wordt, zodat de receptionist van de arts zelf kan vernemen hoe belangrijk de controle over twee weken is. Beslist de arts op dat moment dat het toch wel meer dan een maand kan wachten, moet Jan zijn conditie zelf goed in de gaten houden. ",proactive
538,Doorgeven wat de arts heeft gezegd en anders de arts erbij halen om alsnog de afspraak te krijgen,proactive
539,Advies van de dr. is dat ik met 14dgn terug komt vertellen aan de baliemedewerker,passive
540,teruggaan naar de arts en hem confronteren met de belachelijkheid van dokters advies.,proactive
541,"Hij zou dan ervoor moeten zorgen dat het toch nog over twee weken kan gemaakt worden, want dat is wat de arts graag wil om een goede diagnose te maken. Hij moet ervoor zorgen dat het een spoedafspraak is en als het dan nog steeds niet gaat lukken, dan moet hij de arts zelf erbij halen, zodat het opgelost kan worden.",proactive
542,Vragen aan de receptioniste of ze aan de arts wil vragen of de afspraak later kan.,proactive
543,weer contact op nemen met de arts om dat te overleggen,proactive
544,Gewoon een afspraak maken over een maand,passive
545,Duidelijk maken dat hij het advies van de arts heeft gekregen dat de afspaak toch echt over twee weken moet zijn .,proactive
546,aangeven dat de dokter graag een afspraak wil over twee weken. Niet zomaar akkoord gaan met een maand,proactive
547,Met de arts praten hoe dit kan worden opgelosd.,proactive
548,Zeggen dat de arts gezegd heeft dat hij over 2 weken terug moest komen en hier ook op staat dat de afspraak er komt.,proactive
549,Hij moet zeggen dat de arts hem vroeg om over 2 weken terug te komen.,passive
550,"Zeggen dat de arts hem over 2 weken terug wilde zien, dus vragen bij de receptie of ze contact met de arts wilde opnemen zodat ze hem later kunnen bellen voor een snellere afspraak",somewhat
551,De creceptionist verwittigen dat hij van de arts over twee weken weer bij hem terug moet komen en erop staan dat hij een over twee weken een afspraak met die arts wil desnoods de receptionist te dwingen ruggespraak met de arts te houden.,proactive
552,naar een andere arts gaan,destructive
553,"Duidelijk maken dat de arts graag wilde dat Jan over twee weken zou terugkomen, en er bij de assistent op aandringen om alsnog een afspraak over twee weken te maken.",proactive
554,Ja moet aangeven dat hij over 2 weken moet terug komen van de dokter dus moet er een afspraak ingepland worden. Jan moet niet akkoord gaan met een latere afspraak,proactive
555,Er op blijven staan dat er een afspraak over twee weken gemaakt wordt of anders een afspraak bij een andere arts.,proactive
556,Aangeven dat de arts heeft gezegd dat hij een afspraak over twee weken moest maken.,passive
557,doei en bekijk het maar!!,destructive
558,Aangezien Jan pas over twee weken hoeft terug te komen ga ik er vanuit dat het met zijn conditie niet al te ernstig is gesteld. Dus volgens mij kan Jan gerust de eerstvolgende mogelijheid voor een afspraak afwachten.,passive
559,"aangeven dat dit niet de bedoeling is en dat hij over 2 weken moet terugkomen volgens de arts, als het dan toch nog niet kan, vragen of de arts advies kan geven",proactive
560,Aangeven dat de arts heeft gezegd dat hij over 2 weken weer terug moet komen.,passive
561,Toch proberen een eerdere afspraak te maken.,proactive
562,telefonisch arts spreken,somewhat
563,"Als de arts dat heeft gezed, zou ik voet bij stuk houden.",proactive
564,Jan zou er op moeten staan dat hij over twee weken terug kan komen.,proactive
565,Hij zou moeten zeggen dat hij al een afspraak heeft met de arts twee weken geleden. Dat hij vandaag langs moest komen bij de arts voor een conditietest.,passive
566,receptie moet overleggen met de arts om een afspraak over 2 weken te krijgen,proactive
567,Ik vind dit geen goede vraag. Ik zou gewoon zelf gaan trainen.,passive
568,erop staan dat de dokter hem eerder zal ontvangen of een andere dokter zoeken,proactive
569,Erop aandringen dat het toch eerder gebeurt.,proactive
570,Urgente van de situatie nogmaals uitleggen. Evt. second opinion aanvragen.,proactive
571,aandringen op eenafspraak,proactive
572,Aangeven dat de dokter zei dat Jan over 2 weken terug moet komen. Als het niet anders kan over een maand terug komen.,passive
573,de afspraak maken en vragen als er eerder een plek komt of ze hem willen bellen,somewhat
574,aandringen op een afspraak.,proactive
575,Er op staan dat de afspraak toch over 2 weken moet plaatsvinden. Evt. terug gaan naar de arts en hem/haar dit voorleggen dat dit een slechte organisatie is en hier kan wat aan gedaan worden.,proactive
576,Uitleggen dat de arts heeft gezegd dat Jan over twee weken moet terugkomen. En eventueel de arts erbij halen.,proactive
577,Het is wel een acceptabel voorstel volgens mij.,passive
579,"Dat moet hij niet accepteren, en eisen dat hij een afspraak kan maken.",proactive
580,bellen voor erdere afspraak,somewhat
581,verwijzen naar wat de arts verteld heeft en daarop inzetten op een datum na 2 weken,proactive
582,Aan moeten geven dat de arts heeft gezegd dat hij over 2 weken terug moet komen en dat er dan toch een afspraak mogelijk moet zijn,proactive
583,terug naar de arts om te protesteren,proactive
584,gewoon wachten als het toch niet anders kan!!,passive
585,"jan zou in dit geval moeten aangeven tegen de receptie dat de dokter heb over 2 weken terug wil zien voor controle, en dat hij zich wil aanpassen aan elk tijdstip. ongetwijfeld is er dan ergens wel 10 min ruimte voor een controle afspraak",somewhat
586,"Afhankelijk van de ernst van de situatie. Als hij bijv. kanker zou hebben, zou hij erop aan moeten dringen de afspraak te vervroegen. Als het zou gaan om bijv. een iets te hoge bloeddruk of een klein kwaaltje, dan maken die 2 weken niet zo'n verschil.",passive
587,Voet bij stuk houden. Hij moet een afspraak krijgen over 2 weken. De arts zal een reden hebben om Jan over 2 weken terug te laten komen. Meer dan een maand is dan te lang en niet acceptabel.,proactive
588,zeggen dat de afspraak met de arts binnen twee weken moet,passive
589,naar andre arts gaan,destructive
590,vermelden dat de desbetreffende arts Jan vroeg op die datum terug te komen.,passive
591,Eisen om de afspraak toch over 2 weken te plannen,proactive
592,Een alternatief zoeken,destructive
593,wachten tot de maand om is als er geen dringende redenen zyn.,passive
594,Duidelijk maken dat hij binnen twee weken terug moest komen. Eventueel contact laten opnemen met de arts zelf,proactive
595,receptie vragen in overleg met de arts te gaan.,proactive
596,geen genoegen meenemen.,passive
597,het moet eerder,passive
598,zeggen tegen de assistente dat ie met 2 weken weer moet komen en dat er vast nog een plekje vrij is,passive
599,eisen dat er toch een afspraak gemaakt kan worden desnoods een paar dagen later,proactive
600,Bij de receptie meteen melden dat de arts gezegd heeft dat hij over 2 weken terug moest komen. Als hij dan nog geen afspraak kan maken voor over 2 weken de receptie contact met de arts op laten nemen.,proactive
601,er op staan dat er binnen 2 weken een afspraak gemaakt word,proactive
602,Benoemen dat de arts specifiek twee weken heeft gezegd. Als het nu een maand wordt zal dat met de arts overlegd moeten worden of dat in de situatie van dhr. kan.,proactive
603,jan zou aan moeten geven dat hij met de betreffende arts een afspraak heeft gemaakt dat hij over 2 weken terug zou moeten komen... en als dat dan nog niet kan dat hun persoonlijk contact op moeten nemen met de arts,proactive
604,Ik zou aangeven dat de arts me over 2 weken wil terug zien en dat er over 2 weken een afspraak moet worden gemaakt. Ze moeten van hun probleem niet Jan's probleem maken.,proactive
605,aangeven dat de arts hem over 2 weken wilde spreken,passive
606,Aangeven dat de arts wenst binnen 2 weken terug te zien en indien dit niet mogelijk is de assistente dit even kortsluit met de arts wat de opties zijn of desnoods naar een andere arts gaan afhankelijk van de ernst van de situatie.,proactive
607,Twee weken langer aan zijn conditie werken en dan zo gauw mogelijk een afspraak maken,passive
608,Aangeven dat de arts hem over 14 dagen wil zien en voet bij stuk houden.,proactive
609,ten eerste:zijn eigen arts hierover aanspreken. ten tweede: naar een andere arts gaan.,proactive
610,zeggen dat het binnen 14 dagen moet van arts,passive
611,"zeggen dat de arts gezegt had dat hij over twee weken terug moest komen,en zich dus niet moet laten afschepen.",proactive
612,Assistente laten vragen aan de arts of de controle ook over een maand kan. Bij klachten zorgen dat hij eerder mag langskomen.,proactive
613,ik zou aangeven dat de arts had aangegeven over 2 weken weer kontakt op te nemen en dat er gekeken zou moeten worden dat er aan die afspraak voldaan moet worden,proactive
614,Ik zou zeggen dat hij genoegen moet nemen met die afspraak,passive
615,niet accepteren,proactive
616,vragen of het niet eerder kan want dat had de arts gezegd. en als het niet anders kan dan over een maand plannen.,passive
617,Jan moet zeggen dat de arts hem over 2 weken weer wil zien.,passive
618,Vragen of ze met de arts willen overleggen om de afspraak eerder af te spreken of anders te bespreken met de arts of het een probleem is als Jan pas over 1 maand op controle terugkomt.,proactive
619,"De arts wil hem over 2 weken zien en niet over meer dan een maand, dus er op aandringen en lukt dat niet overleggen met de arts",proactive
621,Duidelijk zeggen dat de arts hem over 2 weken wil zien en dat de afspraak dus over 2 weken moet plaats vinden. Anders kijken of het bij een collega kan.,proactive
622,Zeggen tegen de receptie dat de afspraak 0ver 2weken is met de arts  dat is de afspraak.en niet anders.,proactive
623,"kortsluiten met de receptionist(e) dat de afspraak over twee weken ingevuld diende te worden, als dit echt niet mogelijk is dan toch over twee weken plannen met eventueel een plaatsvervanger. Als dat ook niets oplevert dan contact op laten nemen met de arts en kortsluiten of over een maand geen nadelige gevolgen met zich meebrengt, zo niet dan over een maand terug komen",proactive
624,Proberen een andere afspraak met de arts te maken en dan pas terug naar de receptie gaan.,proactive
625,"Aan de receptie vertellen dat hij van de arts over twee weken terug moet komen, omdat de arts dan wil kijken of zijn conditie wel/niet is verbeterd.",passive
626,Ik zou als ik Jan was de dokter proberen te bereiken om dat met hem te bespreken. Hierdoor heb je tenminste zekerheid.,proactive
627,"Nu hij er toch was meteen terug gaan.Dit  melden aan de arts .Dan hoort hij ,of de arts heeft zich vergist /dat kan / of de receptie maakt een fout. Dat kan .",proactive
628,ewoon afwachten,passive
629,bij de receptie vragen contact met arts op te nemen,proactive
630,accepteren,passive
631,Als het niet ernstig is gewoon een maand later gaan.,passive
632,Terug gaan naar de arts en voorleggen dat hij pas over 1 maand een afspraak kan maken. Ik vindt dat de arts dan maar moet beslissen over wanneer de afspraak plaats moet vinden!,proactive
633,Over een maand een afspraak maken en dan kijken of zijn conditie verbeterd is.,passive
634,niet accepteren de arts zegt over twee weken,proactive
635,"vragen of er een mogelijkheid is om eerder te komen, of om de arts zelf te spreken. ",proactive
636,Rustig uitleggen dat de arts heeft gezegd dat hij Jan over twee weken al wikde zien ipv 4 weken.,passive
637,Jan moet er op staan eerder geholpen te worden,proactive
638,Vragen naar een vervangende arts.,proactive
639,Advies van de dokter benadrukken en toch proberen een afspraa te krijgen desnoods21/2 week,proactive
640,zeggen dat de arts hem vertelde binnen nu en twee weken een afspraak te maken. Dit doorzetten.,proactive
641,niet meer gaan,destructive
642,Jan moet aangeven dat zijn arts hem op dat moment wil zien.,passive
643,Vragen aan de betreffende dame dit terug te koppelen naar de arts omdat die hem na 2 weken wel wil terugzien.,proactive
644,zeggen dat je binnen twee weken terug moest komen.,passive
645,Zeggen dat de arts wil dat hij over twee weken terug moet komen.,passive
646,de assistente er op wijzen dat de arts had aangegeven dat er een afspraak over 2 weken gemaakt moest worden en als dat niet kan ze de arts maar moet vragen wat die er van vind,proactive
647,dat het binnen twee weken moet.,proactive
648,Jan moet aan de receptie duidelijk maken dat de dokter hem per se over 2 weken wil terug zien om zijn conditie te controleren. Hij moet persisteren voor een nieuwe afspraak binnen de termijn.,proactive
649,Werken aan zijn conditie en dan na een maand laten testen,passive
650,zeggen dat het advies van de arts opgevolgd moet kunnen worden of eventueel een telefonisch consult regelen,somewhat
652,Aangeven wat de arts heeft gezegd en aandringen om toch een eerdere afspraak te krijgen.,proactive
653,teruggaan naar de arts.,proactive
654,"Jan zou eerst bij de receptie aan moeten geven dat de arts hem dat advies heeft gegeven. Mocht dit niet voldoende zijn om de afspraak eerder te houden, moet hij de receptioniste verzoeken om contact op te nemen met de arts. Als dit een probleem is kan hij het beste even wachten tot de arts klaar is met de volgende afspraak en dan zelf de arts er op aanspreken.",proactive
655,Niet accepteren en de arts erbij laten roepen om te proberen de afspraak van over 2 weken t¢ch te plannen.,proactive
656,De receptie kontakt laten opnemen met de arts en terugkoppellen wat de arts had gezegd.,proactive
657,aangeven dat de arts heeft gezegd dat hij binnen 2 weken weer terug moest komen en dat hij een afspraak eerder dan een maand wil,proactive
658,dan terug nar arts sproken.,proactive
659,De receptie eerst aan de dokter laten vragen of die accoord kan gaan met een afspraak over meer dan een maand.,proactive
660,Bezwaar maken,proactive
661,"verder bouwen aan zijn conditie, en wachten op de oproep",passive
662,Navragen of het mogelijk was om deze afspraak bij een andere arts in te kunnen laten plannen.,proactive
663,Verder met zijn conditie opbouwen. en desnoods zijn huisarts opbellen.,passive
664,Vasthouden aan wat de arts heeft geadviseerd. Ik zou in ieder geval niet weggaan zonder afspraak binnen de gestelde termijn.,proactive
665,"Bij de receptie aandringen om toch eerder te kunnen en zo niet, dan na twee weken zelf beoordelen of de conditie is verbeterd.",passive
666,LAAT DAN DE DOKTER KOMEN VOOR HUIS BEZOEK,proactive
667,"Gewoon wachten,het is niet levensbedreigend om langer te wachten.",passive
668,Toch proberen om de afspraak eerder te krijgen.,proactive
669,"De receptie contact op laten nemen met de arts en vraag of dit een probleem is. zo ja, dan gaatje vinden in agenda. zo niet, dan afspraak maken voor over een maand.",proactive
670,op zijn strepen staan en anders een andere arts zoeken,proactive
671,"Bij de receptie duidelijk maken dat de arts hem over twee weken wil zien,dus hij moet niet akkoord gaan,met de evt afspraak van meer dan een maand.",proactive
672,zeggen dat de arts vroeg om over twee weken te komen,passive
673,Er op staan dat er een afspraak wordt gemaakt voor over 2 weken en anders maar geen afspraak.,proactive
674,Aangeven dat de arts heeft gezegd dat hij over 2 weken terug moet komen. Wordt de afspraak dan nog niet gemaakt naar de arts zelf vragen.,proactive
675,"Proberen rechtstreeks met de arts contact te krijgen, en als dat niet lukt in ieder geval aan de receptionist zeggen dat hij over 2 weken terug dient te komen, juist op verzoek van de arts",proactive
676,aangeven dat de arts hem over twee weken wilde terugzien (advies van de arts) en of er toch niet een mogelijkheid is.,passive
677,"Ik zou de mensen  bij de receptie aanmoedigen contact met de arts op te nemen en vragen of het mogelijk is de afspraak uit te stellen, of dat de conditie zo slecht is dat urgentie geboden is, ik zou wachten op het antwoord en vervolgens daarop reageren. Bij urgentie zou ik erop staan over 2 weken een afspraak te maken.",proactive
678,Wijzen op het feit dat de arts gevraagd heeft over twee weken terug te komen en er op staan en afspraak over twee weken in te plannen. Voet bij stuk houden.,proactive
679,Verwijzen naar het advies van de arts.,passive
680,Jan zou bij de receptuie kunnen aangeven dat de arts heeft gezegd dat hij binnen twee weken terug moet komen. Jan moet de receptie daarop aanspreken en anders moet de receptie ruggespraak houden met de arts.,proactive
681,"Toch uitleggen dat de arts hem over 2 weken terug wilt zien, en niet over 4 weken.",passive
682,Erop staan dat die afspraak binnen twee weken moet,proactive
683,Gewoon zeggen dat de dokter binnen 2 week heeft gezegt,passive
684,"De receptie vragen contact met de arts op te nemen, zodat deze kan laten horen binnen welke termijn hij een vervolgafspraak absoluut noodzakelijk vindt.",proactive
